"Ticker","Nome","Negócios","Última (R$)","Variação"
"BBAS3","Banco do Brasil","37.210.200","19,95","+0,05%"
"PETR4","Petrobras","33.284.000","32,44","+1,31%"
"BBDC4","Banco Bradesco","28.054.200","15,41","-0,19%"
"COGN3","Cogna","26.891.800","2,66","+1,53%"
"RAIZ4","Raízen","21.838.000","1,42","-1,39%"
"MGLU3","Magazine Luiza","21.144.500","6,98","-2,79%"
"CSAN3","Cosan","20.991.000","5,81","-0,85%"
"ABEV3","Ambev","20.942.500","13,19","+1,00%"
"B3SA3","B3","17.195.600","12,71","+0,08%"
"AZUL4","Azul","17.110.300","0,69","-2,82%"
"ITUB4","Itaú Unibanco","16.170.700","34,67","+0,58%"
"VALE3","Vale","14.648.700","54,82","-0,62%"
"WEGE3","WEG","14.293.400","36,58","-0,41%"
"USIM5","Usiminas","13.417.300","4,20","+0,72%"
"BBSE3","BB Seguridade","12.968.800","33,71","+0,48%"
"PCAR3","Grupo Pão de Açúcar","12.959.500","3,45","-1,99%"
"ASAI3","Assaí","11.969.100","9,56","+0,31%"
"EMBR3","Embraer","11.334.000","68,74","+3,76%"
"MOTV3","Motiva","11.213.200","12,35","+0,41%"
"LREN3","Lojas Renner","11.016.900","16,35","-0,12%"
"BEEF3","Minerva","10.348.000","5,01","+0,20%"
"ITSA4","Itaúsa","10.142.400","10,28","+0,29%"
"VBBR3","Vibra Energia","9.452.500","21,11","+0,43%"
"CPLE6","Copel","9.407.700","11,72","+1,21%"
"RAIL3","Rumo","8.980.400","16,85","+0,00%"
"BPAC11","Banco BTG Pactual","8.888.000","38,72","+0,60%"
"CMIG4","Cemig","8.720.000","10,45","+0,77%"
"CSNA3","Siderúrgica Nacional","8.621.100","8,01","+0,12%"
"PETR3","Petrobras","8.502.400","35,59","+1,63%"
"GGBR4","Gerdau","8.402.200","16,71","-0,54%"
"STBP3","Santos Brasil","8.055.700","13,87","-0,57%"
"VAMO3","Grupo Vamos","7.367.800","3,87","-1,02%"
"LWSA3","Locaweb","6.658.300","3,73","+0,27%"
"BRAV3","3R Petroleum","6.637.000","19,88","+2,74%"
"BBDC3","Banco Bradesco","6.522.100","13,27","+0,00%"
"VIVT3","Vivo","6.494.500","30,55","+0,03%"
"PRIO3","PetroRio","6.487.000","41,97","+1,18%"
"POMO4","Marcopolo","6.169.300","8,20","-0,24%"
"MRVE3","MRV","6.132.300","6,02","+1,18%"
"YDUQ3","YDUQS","6.027.000","12,60","-0,55%"
"CPLE3","Copel","5.783.100","10,95","+1,58%"
"ENEV3","Eneva","5.771.700","13,47","+0,60%"
"CVCB3","CVC","5.435.200","2,32","-0,85%"
"AZTE3","AZT Energia","5.408.600","0,56","+5,66%"
"UGPA3","Ultrapar","5.165.600","17,09","+1,12%"
"TIMS3","TIM","4.898.600","19,80","+0,00%"
"RENT3","Localiza","4.821.700","35,47","+0,85%"
"RCSL4","Recrusul","4.780.000","1,09","+1,87%"
"GOAU4","Metalúrgica Gerdau","4.746.300","9,31","-0,53%"
"VIVA3","Vivara","4.677.100","24,58","+2,72%"
"IFCM3","Infracommerce","4.674.500","0,04","+0,00%"
"EQTL3","Equatorial Energia","4.672.300","33,77","+0,81%"
"CXSE3","Caixa Seguridade","4.484.800","13,70","+0,74%"
"RADL3","RaiaDrogasil","4.388.900","13,85","+0,44%"
"ELET3","Eletrobras","4.379.100","37,80","+0,51%"
"SRNA3","Serena Energia","4.358.000","11,83","+0,25%"
"CYRE3","Cyrela","4.222.900","24,64","+0,82%"
"CEAB3","C&A","4.073.900","16,10","+4,41%"
"SMTO3","São Martinho","4.040.400","18,37","+0,11%"
"SBFG3","Grupo SBF","3.875.600","11,39","-4,45%"
"KLBN4","Klabin","3.788.500","3,67","-1,08%"
"RAPT4","Randon","3.699.600","6,94","+0,14%"
"ANIM3","Ânima Educação","3.590.700","3,53","-0,84%"
"CMIN3","CSN Mineração","3.358.400","5,10","+0,20%"
"FLRY3","Fleury","3.342.000","14,43","+0,07%"
"ECOR3","EcoRodovias","3.335.400","6,66","+1,06%"
"EVEN3","Even","3.250.000","6,99","+1,01%"
"RDOR3","Rede D'Or","3.199.400","32,63","+0,59%"
"ALOS3","Allos","3.194.000","21,21","+0,76%"
"HAPV3","Hapvida","3.117.500","32,46","+1,47%"
"CASH3","Méliuz","3.110.000","5,82","-5,52%"
"MOVI3","Movida","3.051.700","6,21","+0,81%"
"OIBR3","Oi","2.945.600","0,51","+4,08%"
"SIMH3","Simpar","2.863.000","4,17","-2,80%"
"MULT3","Multiplan","2.780.400","25,24","+1,61%"
"PETZ3","Petz","2.762.600","3,87","+0,26%"
"KLBN11","Klabin","2.711.400","18,55","-0,64%"
"SANB11","Banco Santander","2.572.600","26,37","+0,11%"
"SMFT3","Smart Fit","2.529.800","20,79","-0,48%"
"GMAT3","Grupo Mateus","2.473.600","7,33","-0,41%"
"HBSA3","Hidrovias do Brasil","2.342.700","3,66","+3,68%"
"SUZB3","Suzano","2.336.400","51,85","-0,58%"
"TEND3","Construtora Tenda","2.225.900","21,24","+4,12%"
"TOTS3","Totvs","2.191.500","43,05","+0,70%"
"BHIA3","Casas Bahia","2.178.000","2,94","-1,01%"
"MRFG3","Marfrig","2.152.500","23,05","+0,61%"
"BRKM5","Braskem","2.115.500","8,99","+0,11%"
"HYPE3","Hypera","2.076.000","25,80","-0,27%"
"AURE3","Auren Energia","2.049.400","9,22","-1,07%"
"INTB3","Intelbras","2.034.900","15,39","+3,71%"
"BRAP4","Bradespar","1.938.200","16,20","-0,37%"
"DXCO3","Dexco","1.838.500","5,63","-0,71%"
"VTRU3","VITRUBREPCOM","1.777.700","8,77","+1,98%"
"AMER3","Americanas","1.759.700","5,30","+2,71%"
"RECV3","PetroRecôncavo","1.752.800","13,56","+1,73%"
"ENGI11","Energisa","1.654.100","45,59","+1,95%"
"CAML3","Camil Alimentos","1.643.200","4,46","+0,90%"
"DIRR3","Direcional","1.620.700","38,88","+3,10%"
"PGMN3","Pague Menos","1.575.200","3,57","+2,00%"
"JHSF3","JHSF","1.538.400","5,10","+0,00%"
"SBSP3","Sabesp","1.531.700","106,91","-0,03%"
"CSMG3","COPASA","1.475.600","25,85","+1,02%"
"TASA4","Taurus","1.441.200","4,90","+2,08%"
"SLCE3","SLC Agrícola","1.370.600","18,14","+1,51%"
"GGPS3","GPS","1.370.000","14,29","+0,70%"
"GRND3","Grendene","1.368.900","5,03","+0,80%"
"ENJU3","Enjoei","1.359.600","1,05","+3,96%"
"ODPV3","Odontoprev","1.359.200","11,96","+1,87%"
"BRFS3","BRF","1.349.100","20,74","-0,14%"
"IGTI11","Iguatemi","1.320.900","20,73","+0,53%"
"IGTI11","Jereissati Participações","1.320.900","20,73","+0,53%"
"AZEV3","Azevedo & Travassos","1.309.600","0,54","-1,82%"
"NEOE3","Neoenergia","1.289.900","24,32","+3,49%"
"ONCO3","Oncoclínicas","1.264.400","5,49","+1,67%"
"ARML3","Armac","1.180.300","3,70","-2,89%"
"SAPR4","Sanepar","1.170.700","6,64","+0,45%"
"HBOR3","Helbor","1.106.800","2,74","+3,40%"
"CURY3","Cury","1.103.900","28,92","+2,34%"
"BRSR6","Banrisul","1.094.900","10,80","-0,74%"
